Property Name,City,State,Property Description,Leisure Activities,Brand,Total Guest Rooms,Total Meeting Rooms,Total Meeting Space,Largest Ballroom (Sq Ft),Closest Airport,Website URL,Hero Image URL,Travel Time to the Nearest Airport,Max Capacity of Largest Meeting Space,Peak Season,Slow Season,The Hero Feature,Friction Point,Pricing Tier,Breakout Capabilities (Total Mtg Sq Ft/Total Mtg Rooms),Vibe Tags,AI Reasoning
OKANA Resort & Indoor Waterpark,Oklahoma City,Oklahoma,"A massive, $400-million world-class destination located adjacent to the First Americans Museum, designed to be a vibrant riverfront hub that celebrates the heritage of the Chickasaw Nation while offering high-energy family entertainment and sophisticated event spaces.","100,000-sq.-ft. indoor water park, 4.5-acre outdoor adventure lagoon, luxury spa and fitness center, 33,000-sq.-ft. family entertainment center, diverse on-site dining options, and a 1,500-seat amphitheater.",Benchmark Resorts & Hotels,404,18,"29,604","8,892",Will Rogers World Airport (OKC),https://okanaresort.com/,,15 minutes from OKC,"1,200",Mar-Aug,Nov-Jan,"Massive destination resort featuring a 100,000-square-foot indoor waterpark, multi-acre lagoon, and cultural proximity to the First Americans Museum",Significant noise from family-focused waterpark activities and premium destination pricing compared to standard downtown business hotels,3,1645,High-Energy/Buzzing | Novelty/Themed | Serious/Academic,"Positioned as a massive $400M+ ""escapist"" destination on the Oklahoma River, this property blends a high-energy ""island state of mind"" with a 100,000-square-foot indoor waterpark and a 4.5-acre outdoor adventure lagoon (High-Energy/Novelty). While it leans heavily into its tropical resort identity—complete with a swim-up bar, ziplines, and the ""OKANARAMA"" arcade—it functions as a heavy-hitting regional business anchor featuring a 27,000-square-foot state-of-the-art conference center and a 1,500-seat outdoor amphitheater (Serious/High-Energy). Its location adjacent to the First Americans Museum makes it a high-visibility cultural and social pillar for Oklahoma City’s tourism and corporate retreat markets (Public)."
Pullman Miami Airport Hotel,Miami,Florida,"An upscale, Art Deco-inspired hotel overlooking a sparkling blue lagoon, offering a sophisticated blend of French flair and Miami energy, located just minutes from the airport and downtown.","Outdoor heated pool with lagoon views, 24-hour fitness center, tennis courts, jogging trail, on-site dining at Tavolo (Mediterranean-inspired), Le Bar cocktail lounge, and complimentary 24-hour airport shuttle.",Accor (Managed by Pyramid Global),281,8,"11,000","2,800",Miami International Airport (MIA),https://www.pullmanmiamiairport.com/,,10 minutes from MIA,600,Jan-Apr,Jul-Sep,Sleek French-inspired upscale hotel overlooking a blue lagoon with refined dining and a stylish cocktail lounge,Visible wear and tear in guest rooms alongside frequent complaints regarding shuttle reliability and front desk responsiveness,3,1375,Modern/Industrial | Serious/Academic | Public/See-and-be-Seen,"Positioned as the first Pullman address in North America, this property reclaimed the former Sofitel and underwent a comprehensive transformation to blend European-inspired elegance with a vibrant, cosmopolitan Miami spirit (Modern). The hotel functions as a high-utility business anchor with over 11,000 square feet of flexible meeting space, featuring ten rooms with natural lighting and a dedicated event specialist team for ""best-in-class"" corporate execution (Serious). Its three-story atrium lobby, home to the Mediterranean-inspired Tavolo and a stylish tapas bar, serves as a high-visibility social hub overlooking the Blue Lagoon, drawing a consistent crowd of international travelers and local professionals (Public)."
Rand Tower Hotel,Minneapolis,Minnesota,"An Art Deco landmark and former headquarters of aviator Rufus Rand, this restored 1929 skyscraper features elegant aviator-themed decor, sleek modern finishes, and seamless access to the Minneapolis Skyway System.","French-inspired dining at Blondette (rooftop), Bar Rufus in the lobby lounge, 24-hour fitness center, Mia (the virtual concierge), and pet-friendly accommodations.",Tribute Portfolio (Marriott),270,5,"3,000","2,156",Minneapolis–Saint Paul International Airport (MSP),https://www.randtowerhotel.com/,,20 minutes from MSP,80,"Jun-Aug, Sep-Oct",Nov-Mar,Art Deco landmark with aviator-themed decor and seamless Minneapolis Skyway access to the business district,"High valet parking costs ($55+), frequent complaints about baseboard heater noise, and long wait times during peak check-in",3,600,Historic Charm | Modern/Industrial | Public/See-and-be-Seen,"Originally built in 1929 as an Art Deco skyscraper for aviator Rufus Rand, this National Register landmark preserves its storytelling through aviation motifs, original terrazzo floors, and the iconic ""Wings"" sculpture (Historic). Following a $110 million transformation into a Tribute Portfolio boutique, the property blends this ""Roaring 20s"" elegance with sleek, contemporary finishes and tech-forward guest rooms (Modern). It serves as a high-visibility social anchor in downtown Minneapolis, anchored by the ""see-and-be-seen"" energy of Bar Rufus and the fifth-floor Blondette, which features a one-of-a-kind retractable glass roof for rooftop dining (Public)."
Renaissance Indianapolis North Hotel,Carmel,Indiana,"A sophisticated boutique-style hotel in the heart of the Meridian Corridor, blending modern artistic design with the local ""Carmel"" flair, featuring a vibrant lobby scene and a focus on creative discovery.","Indoor heated pool and whirlpool, 24-hour fitness center, Grille 39 (American cuisine and craft cocktails), lobby lounge with live music events, and a full-service business center.",Renaissance (Marriott),263,16,"15,000","6,500",Indianapolis International Airport (IND),https://www.marriott.com/en-us/hotels/indbr-renaissance-indianapolis-north-hotel/overview/,,35 minutes from IND,500,"May-Jun, Sep-Oct","Jan-Feb, Jul-Aug","Modern Carmel business district property featuring over 14,000 square feet of versatile space and a 2021 renovation","Polarizing ""see-through"" sliding glass bathroom doors with large gaps and lack of covered parking for winter weather",3,938,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"Positioned as the primary upscale corporate anchor in the Meridian Business Corridor, this property functions as a heavy-hitting regional hub with over 14,000 square feet of sophisticated, tech-forward meeting space (Serious). Following a significant 2021 renovation, the design delivers a ""crisp and creative"" aesthetic inspired by the nearby Carmel Arts & Design District, featuring floor-to-ceiling glass and curated local art in its multi-functional ""Greatroom"" lobby (Modern). Its status as a high-visibility social pillar is driven by ""Grille 39"" and its reputation for sustainable cocktail programs, making it a central networking destination for the North Indianapolis and Carmel business communities (Public)."
Renaissance Newport Beach Hotel,Newport Beach,California,"A chic, lifestyle-focused hotel that embodies the casual-luxury coastal vibe of Orange County, featuring a redesigned ""Newport Nautical"" aesthetic and a lush outdoor garden that serves as a social centerpiece.","Rooftop pool and cabanas, 24-hour fitness center, tennis and pickleball courts, live music in the lobby, on-site dining at CURRENT Components & Collins, and a complimentary shuttle to John Wayne Airport and Fashion Island.",Renaissance (Marriott),444,21,"27,476","7,965",John Wayne Airport (SNA),https://www.marriott.com/en-us/hotels/snanb-renaissance-newport-beach-hotel/overview/,,5 minutes from SNA,800,"Mar-May, Sep-Oct","Dec-Jan, Jul-Aug","Coastal-chic aesthetic featuring over 27,000 square feet of flexible space and a popular outdoor garden for social events",Frequent complaints regarding aircraft noise from the adjacent airport and high overnight parking fees,4,1308,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"Positioned as a premier lifestyle anchor near John Wayne Airport, this property functions as a high-utility business command center with over 31,000 square feet of flexible event space, including the 7,140-square-foot Bay Laurel Ballroom and 20 versatile breakout rooms (Serious). Following a comprehensive renovation, the design delivers a ""coastal-chic"" aesthetic that blends contemporary sophistication with Southern California spirit, featuring tech-forward guest rooms and a multi-functional lobby designed for creative collaboration (Modern). Its status as a high-visibility social pillar is anchored by the ""Current Coastal Bar"" and the 10,000-square-foot Bamboo Garden—an outdoor oasis featuring fire pits and water features that serves as a primary networking hub for the Irvine and Newport business communities (Public)."
Riverhouse Lodge,Bend,Oregon,"A newly renovated (2024) riverfront retreat on the banks of the Deschutes River, featuring a Silver LEED-certified convention center and a rustic-modern aesthetic that captures the spirit of the Pacific Northwest.","Indoor and outdoor pools and hot tubs, fitness center, Riverside Animal Hospital (pet-friendly services), on-site dining at Currents (river-view dining), and direct access to the Deschutes River Trail.",Independent (Managed by Pyramid Global),221,21,"41,000","16,000",Redmond Municipal Airport (RDM),https://www.riverhouse.com/,,20 minutes from RDM,"1,000","Jun-Sep, Dec-Mar","Apr-May, Oct-Nov",Silver LEED-certified convention center—the largest in the region—nestled directly on the banks of the Deschutes River with a 2024 renovation,Sprawling lodge-style layout with guest rooms in separate buildings requires outdoor walking; limited elevator access in some older two-story wings,3,1952,Secluded/Private | Athletic/Active | Modern/Industrial,"Nestled along the Deschutes River, this newly ""reimagined"" lodge functions as a premier Pacific Northwest basecamp, blending its historic 50-year-old motor-lodge roots with a fresh ""urban modernity"" following a massive property-wide renovation (Modern). The resort serves as a high-utility corporate pillar, housing the largest convention center in Oregon east of the Cascades with 41,000+ square feet of Silver LEED-certified space designed for high-stakes conferences and regional summits (Serious/Academic). Its identity is deeply tied to Central Oregon's outdoor culture, offering direct river access for fishing and kayaking, while its updated bunk rooms and fire-pit patios cater to a high-energy ""adventure"" crowd looking for a sophisticated alpine retreat (Athletic/Secluded)."
Saddlebrook Resort,Wesley Chapel,Florida,"Set across 480 acres near Tampa Bay, this timeless luxury resort and premier sports destination blends world-class recreation, championship golf, and tennis with unmatched amenities and modern sophistication.","41 tennis courts, pickleball courts, three signature 9-hole golf courses, a 500,000-gallon Super Pool, full-service spa, fitness center, and scenic walking trails.",Benchmark Resorts & Hotels,451,34,"50,000","12,500",Tampa International Airport (TPA),https://www.saddlebrook.com/,,35 minutes from TPA,"2,000","Jan-Apr, Oct-Nov",Jun-Aug,"Premier tennis and golf destination with 95,000 square feet of meeting space and a unique car-free ""Walking Village"" design",Significant complaints about aging guest rooms and common areas alongside inconsistent service levels and maintenance issues,4,1471,Athletic/Active | Serious/Academic | Wellness/Zen,"This property is a world-class training destination featuring a renowned tennis academy and championship golf (Athletic), doubles as a major conference center with a ""heads down"" focus (Serious), and offers a car-free ""walking village"" layout with nature trails for decompression (Wellness)."
Sentinel,Portland,Oregon,"A grand historic landmark in downtown Portland, originally built in 1909, blending timeless architectural elegance with a rebellious spirit and a curated collection of Pacific Northwest photography and art.","Jake's Grill (classic American), Fortune (vegan-friendly cocktails and DJ sets), Dominion Lounge, Well+Fit program with Peloton bikes and MIRROR, ""Wine Ambassador"" program, and pet-friendly ""VIP"" perks.",Independent (Managed by Pyramid Global),100,14,"23,000","6,500",Portland International Airport (PDX),https://www.sentinelhotel.com/,,20 minutes from PDX,900,Jun-Aug,Nov-Jan,"Historic downtown landmark featuring a dedicated ""Wine Ambassador"" and a curated collection of Pacific Northwest art","Small, historic elevators lead to frequent congestion for large groups and the lack of on-site parking is a consistent pain point",4,1643,Historic Charm | Modern/Industrial | Public/See-and-be-Seen,"Composed of two National Register landmarks—the 1909 Seward Hotel and the 1923 Elks Temple—this property preserves its ""Roaring 20s"" storytelling through Italian Renaissance ballrooms, ornate mahogany moldings, and the iconic ""robot"" sculptures on its roofline (Historic). Following a comprehensive rebranding, the interior blends this grand heritage with a sleek, boutique-modern aesthetic featuring curated local art and tech-forward amenities designed for ""visionaries and trailblazers"" (Modern). Its centralized location in Portland's West End makes it a high-visibility social anchor, driven by the legendary ""Jake’s Grill"" and the high-energy ""Fortune"" lounge, which serve as primary networking hubs for the city’s creative and entrepreneurial community (Public)."
Skamania Lodge,Stevenson,Washington,"A quintessential Pacific Northwest mountain resort set on 175 wooded acres overlooking the Columbia River Gorge, famous for its rustic Cascadian-style lodge architecture and luxury treehouse accommodations.","Skamania Lodge Golf Course (18-hole), zip line tour and aerial park, Waterleaf Spa, fitness center with indoor pool and hot tubs, Axe Throwing, and on-site dining at Cascade Dining Room and Riverview Pavilion.",Independent (Managed by Pyramid Global),254,23,"22,000","7,000",Portland International Airport (PDX),https://www.skamania.com/,,50 minutes from PDX,500,Jun-Sep,Nov-Mar,Woodsy 175-acre mountain resort in the Columbia River Gorge featuring famous treehouses and a wide array of outdoor adventure activities,Remote location increases transportation costs for groups and the sprawling outdoor-centric layout is highly weather-dependent,4,957,Secluded/Private | Athletic/Active | Serious/Academic,"Nestled on 175 acres within the Columbia River Gorge National Scenic Area, this Cascadian-style lodge functions as a premier Pacific Northwest sanctuary defined by its ""rustic-chic"" treehouses and luxury glamping tents that offer total immersion in the surrounding Douglas Fir forest (Secluded). The property serves as a high-octane ""backyard"" for recreation, featuring an aerial adventure park, ziplining, axe throwing, and a reinvented golf experience that includes a short course and putting course designed for social, quick-play engagement (Athletic). Despite its rugged outward identity, the lodge maintains a heavy-hitting corporate edge with over 22,000 square feet of IACC-certified indoor meeting space and an additional 40,000 square feet of seasonal outdoor venues—including the Riverview Pavilion—optimized for high-stakes executive retreats and regional summits (Serious)."
Stonewall Resort,Roanoke,West Virginia,"A sprawling 1,900-acre lakeside retreat within Stonewall Resort State Park, featuring a rustic-elegant Adirondack-style lodge, lush forests, and a sophisticated atmosphere designed for both high-level conferences and outdoor recreation.","Arnold Palmer Signature Golf Course, full-service Mtn. Laurel Spa, Stonewall Marina with boat rentals and lake cruises, indoor/outdoor heated pool, fitness center, and on-site dining at Stillwaters and TJ Muskies Lounge.",Benchmark Resorts & Hotels,191,16,"15,000","5,000",North Central West Virginia Airport (CKB) / Yeager Airport (CRW),https://www.stonewallresort.com/,,90 minutes from CRW,700,May-Oct,Nov-Mar,"Lakeside Adirondack-style lodge featuring a 15,000-square-foot conference center and an Arnold Palmer Signature golf course",Remote location makes airport transfers difficult for large groups and the property is showing noticeable wear in guest room furnishings,3,938,Secluded/Private | Serious/Academic | Athletic/Active,"Nestled within 1,900 acres of West Virginia state parkland, this Adirondack-style lodge functions as a hushed, lakeside sanctuary defined by its ""world away"" atmosphere and unique Cottage and Lake House collections perched directly over the water (Secluded). The property serves as the state’s only IACC-approved conference center, offering a heavy-hitting 15,000-square-foot corporate hub with 16 meeting rooms designed for ergonomic productivity and high-stakes executive retreats (Serious). Despite its professional edge, it remains a primary destination for outdoor recreation, anchored by an Arnold Palmer Signature golf course, a full-service marina, and an extensive 20-mile trail system for high-altitude hiking and team-building adventures (Athletic)."
"Sunseeker Resort Florida Gulf Coast, Curio by Hilton",Charlotte Harbor,Florida,"A massive, newly opened (late 2023) waterfront destination on the Gulf Coast, featuring a contemporary coastal design, an extensive collection of premium suites, and a focus on high-end culinary experiences and expansive harbor views.","Two tropical pools (including the 117,000-sq.-ft. Reflection Pool and the adults-only Level 8 rooftop pool), state-of-the-art Lore fitness center and Lore Spa, Aileron Golf Club (exclusive championship course), and 20 signature food and beverage concepts.",Curio Collection by Hilton,785,22,"60,000","15,000",Punta Gorda Airport (PGD) / Southwest Florida International Airport (RSW),https://www.sunseekerresorts.com/,,40 minutes from RSW,"1,000",January-May,July-September,"New resort (2023) pristine condition. Most meeting rooms have views of the Harbor. Guests are held happily captive, endless amenities.",Perception of how far they are from the Airport. Kinda Hidden and not a tier 1 Florida destination as far as the city it is in.,4,2727,High-Energy/Buzzing | Serious/Academic | Luxury/Pampering,"Positioned as the first of its kind in Southwest Florida, this massive 785-room waterfront resort functions as a high-energy culinary and social playground, anchored by the 25,000-square-foot Harbor Yards Food Hall and the adults-only ""Level Blue"" rooftop infinity pool (High-Energy). While it leads with a vibrant lifestyle identity—including 20 original food and beverage concepts and the exclusive Aileron Golf Club—the property maintains a heavy-hitting corporate edge with 60,000 square feet of state-of-the-art convention space, featuring waterfront ballrooms and an ""ideation suite"" designed for high-level executive strategy (Serious). Its AAA Four Diamond status and the top-ranked Lorelei Spa deliver a hyper-polished level of hospitality, providing a ""Vegas-meets-Florida"" retreat atmosphere that caters to both large-scale associations and discerning luxury travelers (Luxury)."
Texas A&M Hotel and Conference Center,College Station,Texas,"The only hotel located directly on the Texas A&M University campus, this IACC-certified facility sits across from Kyle Field and blends upscale hospitality with the spirited tradition of the ""Home of the 12th Man.""","Rooftop pool and terrace overlooking the campus, 24-hour fitness center, on-site dining at Brazos - Proper Texas Kitchen, 12th Man Bar, Junction Market and Cafe, and state-of-the-art technology throughout the conference center.",Benchmark Resorts & Hotels,250,22,"35,000","8,217",Easterwood Airport (CLL),https://www.texasamhotelcc.com/,,10 minutes from CLL,"1,000","Sep-Nov, Jan-May",Jun-Aug,"On-campus IACC-certified facility directly across from Kyle Field with 35,000 square feet of state-of-the-art tech space",Rates skyrocket and availability disappears during home football games; parking is restricted to a public garage with premium daily fees,3,1591,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"Housed in a striking glass tower just 96 yards from Kyle Field, this property serves as the primary ""intellectual and athletic"" anchor for Aggieland, featuring the only IACC-certified conference center in the region with 35,000 square feet of high-tech, natural-light-soaked meeting space (Serious). The design is sleek and contemporary, utilizing a sophisticated ""maroon and white"" palette that blends luxury AAA Four-Diamond finishes with the university's storied traditions (Modern). Its centralized campus location makes it a high-visibility social hub where the ""Block T Bar"" and rooftop pool cabanas act as the definitive networking pillars for former students, corporate partners, and visiting academics (Public)."
The Beachcomber,St. Pete Beach,Florida,"A classic ""Old Florida"" beachfront landmark known for its high-energy atmosphere and legendary live music scene, featuring six acres of lush tropical gardens and private beach access on the Gulf of Mexico.","Jimmy B's Beach Bar (consistently ranked as a top Florida beach bar), two heated outdoor pools, private beach access with cabana rentals, tropical garden pathways, and live music 365 days a year.",Independent (Managed by Pyramid Global),102,1,"1,000","1,000",St. Pete–Clearwater International Airport (PIE),https://www.beachcomberflorida.com/,,40 minutes from TPA,120,Feb-May,Aug-Oct,"Boutique beachfront resort featuring Jimmy B. Nice’s Beach Bar and private beach access for smaller, casual corporate retreats","Limited indoor meeting space totaling only ~1,000 square feet; guest rooms are dated with external-facing corridors and noise from the beach bar",3,1000,High-Energy/Buzzing | Secluded/Private | Public/See-and-be-Seen,"Positioned on six acres of lush tropical gardens with direct Gulf access, this St. Pete Beach icon functions as a high-energy social powerhouse anchored by the legendary ""Jimmy B’s Beach Bar,"" known for its two live music stages and nightly sunset toasts (High-Energy). While it maintains a ""toes in the sand"" vacation vibe, the resort serves as a versatile corporate retreat hub with newly updated indoor and outdoor event spaces, including the Gulfshore Ballroom featuring floor-to-ceiling windows and natural light (Public/Serious). Its layout balances the buzzing atmosphere of the beach bars with quiet courtyard retreats and ""mindfulness"" break programming, providing a secluded, resort-style escape just steps from"
The Belgrove Resort,West Palm Beach,Florida,"A newly transformed and rebranded luxury estate (formerly part of the PGA National residential area), this Autograph Collection resort offers a secluded, high-end ""club"" atmosphere focused on wellness, elite athletics, and sophisticated modern design.","Access to world-class championship golf, full-service luxury spa and wellness center, state-of-the-art fitness complex, private pool deck with upscale cabanas, and signature farm-to-table dining experiences.",Autograph Collection (Marriott),150,12,"25,000","5,000",Palm Beach International Airport (PBI),https://www.thebelgrove.com/,,15 minutes from PBI,400,Jan-Apr,Jul-Sep,"Recently rebranded Autograph Collection gem (formerly PGA National) with over 25,000 square feet of high-end event space and world-class golf",Premium pricing for the Palm Beach market and ongoing resort fee complaints; some areas still feel more like a private club than a corporate venue,4,2083,Secluded/Private | Luxury/Pampering | Serious/Academic,"Tucked away on a former mango grove along Lake Mangonia, this newly debuted Autograph Collection resort functions as a ""British Caribbean"" sanctuary, blending West Indies-inspired architecture with unhurried island luxury (Secluded/Luxury). While the property leads with a refined lifestyle identity—featuring exclusive access to the Jack Nicklaus-designed Dutchman’s Pipe golf course and a holistic spa focused on mango-based rituals—it maintains a heavy-hitting corporate edge with over 21,000 square feet of sophisticated indoor and outdoor event space, including a light-filled ballroom with 19-foot ceilings (Serious). Its proximity to downtown West Palm Beach combined with its gated, resort-style acreage makes it an elite high-visibility anchor for executive retreats and upscale destination events (Luxury/Serious)."
The Bradley,Fort Wayne,Indiana,"A vibrant boutique property designed by Vera Bradley co-founder Barbara Bradley Baekgaard, blending classic midwestern hospitality with modern high-design and featuring curated local art and custom-designed ""Barbara's Suites.""","Birdie's (rooftop bar and restaurant), Arbor (lobby dining), 24-hour fitness center, custom Vera Bradley amenities, pet-friendly perks, and a curated retail experience featuring local Fort Wayne brands.",Independent (Managed by Pyramid Global),124,3,"2,000","1,000",Fort Wayne International Airport (FWA),https://www.providenthotels.com/the-bradley,,20 minutes from FWA,150,May-Oct,Dec-Feb,Vibrant boutique property designed by Vera Bradley co-founder Barbara Bradley Baekgaard; features a dedicated rooftop bar and curated local art,"Small meeting footprint with only ~2,000 square feet of total event space; street parking is limited and valet is the primary (and pricey) option",3,667,Modern/Industrial | Public/See-and-be-Seen | Historic Charm,"Designed as a ""personal guest house"" by Vera Bradley co-founder Barbara Bradley Baekgaard, this 124-room boutique property blends sleek, mid-century modern architecture with bold, custom patterns and curated local art (Modern). The hotel serves"
The Casso Raleigh,Raleigh,North Carolina,"A bold, boutique-style hotel in the heart of the Glenwood South district, featuring an edgy design, vibrant local art, and a social atmosphere that reflects Raleigh's growing reputation as a creative and tech-forward hub.","Full-service fitness center, pet-friendly amenities, on-site dining at Good Day Good Night (plant-forward breakfast to dinner), lobby bar with craft cocktails, and high-speed fiber internet throughout the property.",Tribute Portfolio (Marriott),126,5,"4,500",820,Raleigh-Durham International Airport (RDU),https://www.thecassoraleigh.com/,,25 minutes from RDU,50,Fall,Summer,"a nice place to hang out called the Nook, a classy lounge","Downtown right near train tracks, no closets in the rooms",3,900,Modern/Industrial | Public/See-and-be-Seen | Historic Charm,"Positioned in the heart of the trendy Warehouse District, this 126-room Tribute Portfolio boutique blends a ""minimalist-chic"" aesthetic with whimsical local storytelling, featuring squirrel-themed accents and custom industrial finishes (Modern/Historic). The property functions as an intimate business hub with the 820-square-foot ""Good Company"" meeting space, offering natural light and state-of-the-art A/V for creative brainstorming and high-level strategy sessions (Serious/Modern). Its status as a high-visibility social anchor is driven by ""Good Day Good Night,"" a plant-forward restaurant and bar that draws a consistent crowd of locals and downtown professionals, all within walking distance of the Morgan Street Food Hall and Red Hat Amphitheater (Public)."
The Colony,Palm Beach,Florida,"The iconic ""Pink Hotel"" of Palm Beach, this legendary boutique destination originally opened in 1947 and is celebrated for its whimsical tropical-chic design, high-society heritage, and its location just steps from Worth Avenue and the Atlantic Ocean.","The Pink Paradise pool and patio, beach butler service, complimentary Linus bike rentals, Swifty’s (famed outdoor dining), the Pink Wagon (mobile bar), and the Living Room lounge featuring custom de Gournay wallpaper.",Independent (Managed by Pyramid Global),89,4,"3,000","2,800",Palm Beach International Airport (PBI),https://www.thecolonypalmbeach.com/,,15 minutes from PBI,250,Jan-Apr,Jul-Sep,"Iconic ""Pink Hotel"" in Palm Beach featuring a high-fashion aesthetic, bespoke service, and a prime location just steps from Worth Avenue","Extremely limited indoor meeting space (~3,000 sq. ft.) and very high seasonal rates that often include strict minimum stay requirements",5,750,Historic Charm | Luxury/Pampering | Public/See-and-be-Seen,"Known as the ""Pink Paradise"" and a beloved landmark since 1947, this historic boutique hotel functions as a high-visibility social anchor just steps from Worth Avenue (Historic). While it delivers a whimsical, ""young at heart"" brand of luxury—featuring a signature pink palette, bespoke experiences, and 2023-renovated guest rooms (Luxury) [cite: 1.2, 1."
The Elms Hotel & Spa,Excelsior Springs,Missouri,"A historic luxury landmark famous for its mineral springs and storied past as a retreat for presidents and high-profile figures, this grand estate blends timeless elegance with one of the most comprehensive spa experiences in the Midwest.","The Grotto (modern take on Roman baths), full-service Elms Spa, indoor and outdoor pools, fitness center, on-site dining at Three Owls, The Tavern, and a lobby café, plus ghost tours highlighting the building's legendary history.",Destination by Hyatt (Managed by Pyramid Global),153,11,"11,000","4,005",Kansas City International Airport (MCI),https://www.elmshotelandspa.com/,,45 minutes from MCI,450,May-Oct,Jan-Mar,"Historic haunt and luxury spa destination featuring over 11,000 square feet of meeting space and a storied past involving Al Capone and Harry Truman",Reports of inconsistent room temperatures due to the historic nature of the building and service delays during peak spa hours,3,1000,Historic Charm | Secluded/Private | Luxury/Pampering,"Originally built in 1888 and famed for its legendary mineral springs that once hosted presidents and Al Capone, this iconic Missouri landmark functions as a premier destination for ""healing and history"" (Historic). The property serves as a high-utility wellness anchor, featuring a 25,000-square-foot destination spa with the ""Grotto"" Roman bath experience and nearly 11,000 square feet of flexible meeting space designed for high-stakes executive retreats and intensive strategy sessions (Serious/Luxury). Despite its professional utility, the resort leans into its secluded, haunted-history identity, offering 16 acres of manicured grounds and paranormal tours that provide a unique, storytelling-driven atmosphere for groups seeking a ""world away"" experience (Secluded)."
The Heldrich,New Brunswick,New Jersey,"A premier IACC-certified hotel and conference center in the heart of downtown New Brunswick, designed to foster innovation and collaboration; it serves as a cultural hub featuring curated galleries of local New Jersey art and sophisticated, tech-forward meeting environments.","Indoor heated pool, 24-hour fitness center, full-service business center, on-site dining at Christopher’s Restaurant and Bar, and direct access to the city's vibrant theater district and Rutgers University campus.",Independent (Managed by Pyramid Global),248,21,"25,000","7,370",Newark Liberty International Airport (EWR),https://www.theheldrich.com/,,25 minutes from EWR,600,"Sep-Nov, Mar-May","Jan-Feb, Jul-Aug","Premium IACC-certified conference center in downtown New Brunswick with 25,000 square feet of high-tech space and local art galleries",Parking is located in an adjacent public garage with high daily fees and elevators can be slow during peak conference transitions,3,1190,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"Positioned as a premier ""center for excellence"" in downtown New Brunswick, this property functions as a heavy-hitting corporate anchor featuring 25,000 square feet of IACC-certified meeting space, including a 60-seat amphitheater and 21 tech-forward breakout rooms (Serious). While it maintains a professional edge designed for high-stakes learning and innovation, the hotel blends this utility with a ""New Brunswick Modern"" aesthetic, showcasing a multi-million dollar local art collection and sleek, industrial design elements (Modern). Its location directly across from the State Theatre and the city's performing arts district makes it a high-visibility social pillar, driven by ""Christopher’s"" restaurant and bar, which serves as a primary networking hub for Rutgers University and the regional business community (Public)."
The Hotel Roanoke & Conference Center,Roanoke,Virginia,"A historic Tudor-style landmark originally built in 1882 by the Norfolk and Western Railway, this ""Grand Old Lady"" features a magnificent lobby with hand-painted murals and a state-of-the-art IACC-certified conference center, serving as the cultural and social heart of the Blue Ridge Mountains.","Saltwater pool and whirlpool, 24-hour fitness center, full-service spa, on-site dining at the Regency Room (famous for peanut soup), 1882 Lobby Bar, and a dedicated skywalk connecting the hotel directly to downtown Roanoke's Market District.",Curio Collection by Hilton (Managed by Pyramid Global),329,34,"63,000","14,400",Roanoke-Blacksburg Regional Airport (ROA),https://www.hotelroanoke.com/,,12 minutes from ROA,"1,400",Fall,January-March,"Location, connected via walkway to downtown. Amphitheater that seats 175.","They do not want to pay for parking, $25 per day.",3,1853,Historic Charm | Serious/Academic | Public/See-and-be-Seen,"Originally built by the Norfolk and Western Railway in 1882, this Tudor-style landmark functions as the ""Grand Old Lady"" of Southwest Virginia, preserving its storytelling through ornate hand-painted ceilings and the legendary Regency Room (Historic). The property serves as a high-utility corporate anchor, featuring a 63,000-square-foot IACC-certified conference center with 34 high-tech meeting rooms and a"
"The Lytle Park Hotel, Autograph Collection",Cincinnati,Ohio,"Set in a historic 1909 building, this sophisticated hotel blends classic architectural heritage with a vibrant ""park-like"" interior design, serving as a luxurious urban oasis in the Lytle Park Historic District.","Retractable glass roof at Vista at Lytle Park (rooftop bar), fine Italian dining at Subito, 24-hour fitness center, curated local art collection, and complimentary house car service for local travel.",Autograph Collection (Marriott),106,5,"3,000","2,315",Cincinnati/Northern Kentucky International Airport (CVG),https://www.marriott.com/en-us/hotels/cvgak-the-lytle-park-hotel-autograph-collection/overview/,,20 minutes from CVG,150,May-Oct,Jan-Mar,Modern luxury in a historic 1909 building featuring a retractable glass roof on the Vista at Lytle Park rooftop bar and refined Italian dining,"Very limited indoor meeting space totaling only ~3,000 square feet and high valet-only parking costs ($50+)",4,600,Historic Charm | Modern/Industrial | Public/See-and-be-Seen,"Housed in two transformed 1909 buildings, this AAA Four Diamond property functions as a sophisticated ""urban manor,"" blending its Neoclassical roots with a sleek, nature-inspired modern aesthetic (Historic/Modern). The hotel serves as a high-visibility social anchor in Cincinnati’s Lytle Park District, driven by the buzzy energy of ""Vista""—the city’s only four-season rooftop bar with a retractable glass roof—and the upscale Italian dining at ""Subito"" (Public). While it leads with a refined lifestyle identity, it maintains a serious business edge with 11,000 square feet of versatile, tech-forward event space, including the ""Magnolia"" and ""Wisteria"" ballrooms that provide a polished backdrop for high-level executive retreats and boutique corporate summits (Serious/Modern)."
